,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
150,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
151,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Cooper Kupp,LAR,WR,4.1,20.8,0.1,123.7,"1,569.3",11.9,0.8,0.0,0.0,0,0.0,0.0
2,Deebo Samuel,SF,WR,78.6,460.9,5.5,69.9,"1,115.5",4.7,1.7,0.0,0.0,0,0.0,0.0
3,Justin Jefferson,MIN,WR,4.6,17.4,0.1,101.5,"1,511.9",8.5,0.8,0.0,0.0,0,0.0,0.0
4,Ja'Marr Chase,CIN,WR,12.3,60.6,0.3,88.7,"1,377.5",9.8,0.9,0.0,0.0,0,0.0,0.0
5,Stefon Diggs,BUF,WR,0.5,4.5,0.0,102.3,"1,295.4",8.9,0.8,0.0,0.0,0,0.0,0.0
6,Davante Adams,LV,WR,0.0,0.0,0.0,110.0,"1,357.6",7.2,0.7,0.0,0.0,0,0.0,0.0
7,Mike Evans,TB,WR,0.5,3.5,0.0,80.3,"1,125.0",10.3,0.7,0.0,0.0,0,0.0,0.0
8,CeeDee Lamb,DAL,WR,9.4,66.8,0.2,89.7,"1,205.1",7.2,0.7,0.0,0.0,0,0.0,0.0
9,Tee Higgins,CIN,WR,0.5,2.0,0.0,84.7,"1,188.7",7.8,0.8,0.0,0.0,0,0.0,0.0
10,A.J. Brown,PHI,WR,1.0,10.5,0.0,75.6,"1,149.9",7.6,0.7,0.0,0.0,0,0.0,0.0
11,Tyreek Hill,MIA,WR,9.5,62.3,0.2,95.1,"1,118.9",7.1,0.8,0.0,0.0,0,0.0,0.0
12,Mike Williams,LAC,WR,0.0,0.0,0.0,71.5,"1,102.4",8.4,0.6,0.0,0.0,0,0.0,0.0
13,Keenan Allen,LAC,WR,0.5,1.0,0.0,105.1,"1,134.3",6.9,0.8,0.0,0.0,0,0.0,0.0
14,Michael Pittman Jr.,IND,WR,4.9,36.5,0.1,89.2,"1,109.8",6.3,0.8,0.0,0.0,0,0.0,0.0
15,Diontae Johnson,PIT,WR,4.5,33.3,0.1,98.3,"1,122.4",6.2,1.5,0.0,0.0,0,0.0,0.0
16,DJ Moore,CAR,WR,7.3,43.8,0.1,86.3,"1,171.1",4.9,0.8,0.0,0.0,0,0.0,0.0
17,Terry McLaurin,WAS,WR,0.5,6.0,0.0,80.8,"1,128.4",6.2,0.7,0.0,0.0,0,0.0,0.0
18,DK Metcalf,SEA,WR,0.5,2.5,0.0,76.6,"1,066.5",7.3,0.8,0.0,0.0,0,0.0,0.0
19,Chris Godwin,TB,WR,4.0,21.6,0.6,92.3,"1,077.9",6.1,1.4,0.0,0.0,0,0.0,0.0
20,Darnell Mooney,CHI,WR,5.1,26.4,0.6,79.3,"1,106.1",5.2,0.7,0.0,0.0,0,0.0,0.0
21,Jaylen Waddle,MIA,WR,5.0,25.3,0.7,95.6,"1,020.6",6.5,0.9,0.0,0.0,0,0.0,0.0
22,Jerry Jeudy,DEN,WR,3.1,13.8,0.1,77.8,"1,121.2",5.3,0.9,0.0,0.0,0,0.0,0.0
23,Gabriel Davis,BUF,WR,0.0,0.0,0.0,54.3,875.3,9.4,0.2,0.0,0.0,0,0.0,0.0
24,Brandin Cooks,HOU,WR,2.9,23.9,0.1,92.2,"1,102.9",5.2,0.7,0.0,0.0,0,0.0,0.0
25,Amari Cooper,CLE,WR,0.5,1.5,0.0,80.5,"1,002.4",7.2,0.8,0.0,0.0,0,0.0,0.0
26,Marquise Brown,ARI,WR,0.5,2.5,0.0,84.6,"1,042.7",6.5,0.9,0.0,0.0,0,0.0,0.0
27,Courtland Sutton,DEN,WR,0.5,1.5,0.0,69.9,"1,033.5",6.4,0.7,0.0,0.0,0,0.0,0.0
28,Adam Thielen,MIN,WR,1.0,3.0,0.0,74.8,831.7,9.3,0.8,0.0,0.0,0,0.0,0.0
29,Tyler Lockett,SEA,WR,2.0,8.0,0.0,83.5,"1,070.6",4.9,0.7,0.0,0.0,0,0.0,0.0
30,Michael Thomas,NO,WR,0.5,-2.0,0.0,87.9,"1,018.1",6.0,0.7,0.0,0.0,0,0.0,0.0
31,Elijah Moore,NYJ,WR,7.0,71.4,1.1,62.1,831.6,6.2,0.8,0.0,0.0,0,0.0,0.0
32,DeVonta Smith,PHI,WR,0.0,0.0,0.0,66.4,933.0,6.9,0.7,0.0,0.0,0,0.0,0.0
33,Amon-Ra St. Brown,DET,WR,9.8,69.9,0.8,83.3,895.5,5.4,0.8,0.0,0.0,0,0.0,0.0
34,Allen Robinson II,LAR,WR,0.0,0.0,0.0,73.0,957.3,5.8,0.7,0.0,0.0,0,0.0,0.0
35,Rashod Bateman,BAL,WR,0.0,0.0,0.0,75.8,990.3,4.8,0.8,0.0,0.0,0,0.0,0.0
36,Michael Gallup,DAL,WR,0.0,0.0,0.0,61.9,897.4,6.1,0.6,0.0,0.0,0,0.0,0.0
37,Hunter Renfrow,LV,WR,3.0,13.0,0.1,81.6,845.5,6.7,1.0,0.0,0.0,0,0.0,0.0
38,Treylon Burks,TEN,WR,5.1,29.1,0.1,61.7,892.2,5.3,1.2,0.0,0.0,0,0.0,0.0
39,JuJu Smith-Schuster,KC,WR,2.5,9.5,1.0,77.8,833.6,5.6,0.8,0.0,0.0,0,0.0,0.0
40,Chase Claypool,PIT,WR,13.4,74.6,0.3,62.1,890.2,3.7,0.7,0.0,0.0,0,0.0,0.0
41,Drake London,ATL,WR,1.0,4.5,0.0,68.8,927.0,4.6,1.2,0.0,0.0,0,0.0,0.0
42,Russell Gage,TB,WR,0.5,2.0,0.0,74.8,830.5,5.9,1.3,0.0,0.0,0,0.0,0.0
